velocity_data_x,velocity_data_y,velocity_data_z,rc_with_flag_data_roll,rc_with_flag_data_pitch,rc_with_flag_data_yaw,rc_with_flag_data_throttle,position_vo_x,position_vo_y,position_vo_z,altitude_fusioned,altitude_barometer,height_homepoint,height_fusion,gps_fused_latitude,gps_fused_longitude,gps_fused_altitude,gps_longitude,gps_latitude,gps_altitude,velocity_x,velocity_y,velocity_z,status_displaymode,status_flight,rtk_connect_status_rtkConnected
-0.011923,0.037519,0.029187,0.000000,0.000000,0.000000,0.000000,-0.106414,0.059040,-49.313744,49.311272,49.509144,49.253578,0.110466,0.000000,0.000000,49.440445,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.013054,0.035543,0.029918,0.000000,0.000000,0.000000,0.000000,-0.106665,0.059777,-49.311031,49.307968,50.040253,49.253578,0.110463,0.000000,0.000000,49.524998,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.013189,0.036239,0.030797,0.000000,0.000000,0.000000,0.000000,-0.114364,0.057030,-49.308392,49.308979,50.138016,49.253578,0.111039,0.000000,0.000000,50.095741,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.012852,0.036832,0.031501,0.000000,0.000000,0.000000,0.000000,-0.114624,0.057748,-49.308681,49.307835,50.064034,49.253578,0.111616,0.000000,0.000000,50.550220,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.013694,0.034173,0.030972,0.000000,0.000000,0.000000,0.000000,-0.114885,0.058485,-49.307724,49.310635,49.654472,49.253578,0.110317,0.000000,0.000000,49.749596,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.014015,0.034723,0.030731,0.000000,0.000000,0.000000,0.000000,-0.115818,0.058537,-49.313320,49.311810,49.945129,49.253578,0.110892,0.000000,0.000000,49.971550,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.014502,0.034160,0.030453,0.000000,0.000000,0.000000,0.000000,-0.116077,0.059224,-49.310875,49.317413,49.654472,49.253578,0.109637,0.000000,0.000000,49.828865,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.013714,0.034736,0.029951,0.000000,0.000000,0.000000,0.000000,-0.116349,0.059918,-49.318748,49.318119,50.050819,49.253578,0.110229,0.000000,0.000000,49.620125,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.015622,0.034620,0.030786,0.000000,0.000000,0.000000,0.000000,-0.116630,0.060603,-49.317917,49.318691,50.071960,49.253578,0.110809,0.000000,0.000000,50.074600,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.017418,0.033055,0.031397,0.000000,0.000000,0.000000,0.000000,-0.116920,0.061279,-49.318779,49.314369,49.810371,49.253578,0.110158,0.000000,0.000000,49.894924,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.017549,0.034157,0.032539,0.000000,0.000000,0.000000,0.000000,-0.117723,0.061032,-49.313034,49.314877,49.736385,49.253578,0.110647,0.000000,0.000000,49.889641,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
